DATE,MRTSSM451211USN
01-01-1992,790
01-02-1992,539
01-03-1992,535
01-04-1992,523
01-05-1992,552
01-06-1992,589
01-07-1992,592
01-08-1992,894
01-09-1992,861
01-10-1992,645
01-11-1992,642
01-12-1992,1165
01-01-1993,998
01-02-1993,568
01-03-1993,602
01-04-1993,583
01-05-1993,612
01-06-1993,618
01-07-1993,607
01-08-1993,983
01-09-1993,903
01-10-1993,669
01-11-1993,692
01-12-1993,1273
01-01-1994,1053
01-02-1994,635
01-03-1994,634
01-04-1994,610
01-05-1994,684
01-06-1994,724
01-07-1994,678
01-08-1994,1154
01-09-1994,1022
01-10-1994,732
01-11-1994,772
01-12-1994,1409
01-01-1995,1308
01-02-1995,718
01-03-1995,695
01-04-1995,688
01-05-1995,785
01-06-1995,808
01-07-1995,782
01-08-1995,1248
01-09-1995,1102
01-10-1995,746
01-11-1995,850
01-12-1995,1466
01-01-1996,1373
01-02-1996,757
01-03-1996,743
01-04-1996,750
01-05-1996,853
01-06-1996,838
01-07-1996,786
01-08-1996,1359
01-09-1996,1040
01-10-1996,899
01-11-1996,908
01-12-1996,1599
01-01-1997,1558
01-02-1997,825
01-03-1997,813
01-04-1997,806
01-05-1997,894
01-06-1997,875
01-07-1997,830
01-08-1997,1301
01-09-1997,1158
01-10-1997,923
01-11-1997,994
01-12-1997,1765
01-01-1998,1463
01-02-1998,921
01-03-1998,882
01-04-1998,854
01-05-1998,919
01-06-1998,939
01-07-1998,881
01-08-1998,1385
01-09-1998,1246
01-10-1998,953
01-11-1998,990
01-12-1998,1849
01-01-1999,1514
01-02-1999,990
01-03-1999,976
01-04-1999,933
01-05-1999,976
01-06-1999,1031
01-07-1999,1023
01-08-1999,1386
01-09-1999,1240
01-10-1999,1019
01-11-1999,1088
01-12-1999,1996
01-01-2000,1505
01-02-2000,1090
01-03-2000,1031
01-04-2000,975
01-05-2000,1104
01-06-2000,1122
01-07-2000,1048
01-08-2000,1594
01-09-2000,1406
01-10-2000,1014
01-11-2000,1098
01-12-2000,1892
01-01-2001,1585
01-02-2001,1070
01-03-2001,1062
01-04-2001,934
01-05-2001,1070
01-06-2001,1077
01-07-2001,1005
01-08-2001,1820
01-09-2001,1406
01-10-2001,1015
01-11-2001,1098
01-12-2001,1956
01-01-2002,1971
01-02-2002,1000
01-03-2002,1008
01-04-2002,966
01-05-2002,1116
01-06-2002,1045
01-07-2002,1038
01-08-2002,1797
01-09-2002,1490
01-10-2002,997
01-11-2002,1059
01-12-2002,1950
01-01-2003,2056
01-02-2003,991
01-03-2003,925
01-04-2003,975
01-05-2003,1107
01-06-2003,1181
01-07-2003,1128
01-08-2003,2139
01-09-2003,1572
01-10-2003,1045
01-11-2003,1036
01-12-2003,2064
01-01-2004,2146
01-02-2004,1108
01-03-2004,1073
01-04-2004,1023
01-05-2004,1113
01-06-2004,1207
01-07-2004,1172
01-08-2004,2120
01-09-2004,1561
01-10-2004,1069
01-11-2004,1089
01-12-2004,2200
01-01-2005,2076
01-02-2005,1086
01-03-2005,1101
01-04-2005,997
01-05-2005,1120
01-06-2005,1154
01-07-2005,1214
01-08-2005,2218
01-09-2005,1554
01-10-2005,1064
01-11-2005,1151
01-12-2005,2257
01-01-2006,2225
01-02-2006,1101
01-03-2006,1092
01-04-2006,987
01-05-2006,1176
01-06-2006,1238
01-07-2006,1135
01-08-2006,2142
01-09-2006,1554
01-10-2006,1054
01-11-2006,1142
01-12-2006,2132
01-01-2007,2220
01-02-2007,1039
01-03-2007,1027
01-04-2007,930
01-05-2007,1134
01-06-2007,1161
01-07-2007,1220
01-08-2007,2327
01-09-2007,1578
01-10-2007,1129
01-11-2007,1227
01-12-2007,2179
01-01-2008,2300
01-02-2008,1157
01-03-2008,1026
01-04-2008,1004
01-05-2008,1158
01-06-2008,1073
01-07-2008,1121
01-08-2008,2425
01-09-2008,1471
01-10-2008,1024
01-11-2008,1034
01-12-2008,2008
01-01-2009,2189
01-02-2009,970
01-03-2009,945
01-04-2009,913
01-05-2009,1053
01-06-2009,1040
01-07-2009,1038
01-08-2009,2296
01-09-2009,1522
01-10-2009,960
01-11-2009,965
01-12-2009,1911
01-01-2010,2150
01-02-2010,948
01-03-2010,948
01-04-2010,858
01-05-2010,1015
01-06-2010,1020
01-07-2010,1003
01-08-2010,2134
01-09-2010,1400
01-10-2010,905
01-11-2010,978
01-12-2010,1879
01-01-2011,1950
01-02-2011,960
01-03-2011,881
01-04-2011,797
01-05-2011,936
01-06-2011,902
01-07-2011,865
01-08-2011,2142
01-09-2011,1335
01-10-2011,751
01-11-2011,797
01-12-2011,1400
